biocPkgName	organism	species	manufacturer	chipName	manufacturerUrl	biocViews
hgug4110b	Homo sapiens	Human 	Agilent	Human 1A (V2)	http://www.chem.agilent.com/scripts/generic.asp?lpage=5175&indcol=N&prodcol=Y	AnnotationData
hgug4111a	Homo sapiens	Human 	Agilent	Human 1B	http://www.chem.agilent.com/scripts/generic.asp?lpage=5175&indcol=N&prodcol=Y	AnnotationData
hgug4112a	Homo sapiens	Human 	Agilent	"Human Genome,  Whole"	http://www.chem.agilent.com/scripts/generic.asp?lpage=5175&indcol=N&prodcol=Y	AnnotationData
hgug4410a	Homo sapiens	Human 	Agilent	Human Genome CGH 44A	http://www.chem.agilent.com/scripts/generic.asp?lpage=5175&indcol=N&prodcol=Y	AnnotationData
hgug4410b	Homo sapiens	Human 	Agilent	Human Genome CGH 44B	http://www.chem.agilent.com/scripts/generic.asp?lpage=5175&indcol=N&prodcol=Y	AnnotationData
hguqiagenv3	Homo sapiens	Human 	Qiagen	Qiagen V3.0 oligo set		AnnotationData
hivprtplus2cdf	Homo sapiens	Human 	Affymetrix			AnnotationData
hsahomology	Homo sapiens	Human 				AnnotationData
hu35ksubacdf	Homo sapiens	Human 	Affymetrix	Human Genome HU35K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hu35k	AnnotationData
hu35ksuba	Homo sapiens	Human 	Affymetrix	Human Genome HU35K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hu35k	AnnotationData
hu35ksubaprobe	Homo sapiens	Human 	Affymetrix	Human Genome HU35K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hu35k	AnnotationData
hu35ksubbcdf	Homo sapiens	Human 	Affymetrix	Human Genome HU35K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hu35k	AnnotationData
hu35ksubb	Homo sapiens	Human 	Affymetrix	Human Genome HU35K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hu35k	AnnotationData
hu35ksubbprobe	Homo sapiens	Human 	Affymetrix	Human Genome HU35K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hu35k	AnnotationData
hu35ksubccdf	Homo sapiens	Human 	Affymetrix	Human Genome HU35K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hu35k	AnnotationData
hu35ksubc	Homo sapiens	Human 	Affymetrix	Human Genome HU35K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hu35k	AnnotationData
hu35ksubcprobe	Homo sapiens	Human 	Affymetrix	Human Genome HU35K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hu35k	AnnotationData
hu35ksubdcdf	Homo sapiens	Human 	Affymetrix	Human Genome HU35K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hu35k	AnnotationData
hu35ksubd	Homo sapiens	Human 	Affymetrix	Human Genome HU35K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hu35k	AnnotationData
hu35ksubdprobe	Homo sapiens	Human 	Affymetrix	Human Genome HU35K Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=hu35k	AnnotationData
hu6800cdf	Homo sapiens	Human 	Affymetrix	HuGeneFL Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=hugenefl	AnnotationData
hu6800	Homo sapiens	Human 	Affymetrix	HuGeneFL Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=hugenefl	AnnotationData
hu6800probe	Homo sapiens	Human 	Affymetrix	HuGeneFL Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=hugenefl	AnnotationData
hu6800subacdf	Homo sapiens	Human 	Affymetrix			AnnotationData
hu6800subbcdf	Homo sapiens	Human 	Affymetrix			AnnotationData
hu6800subccdf	Homo sapiens	Human 	Affymetrix			AnnotationData
hu6800subdcdf	Homo sapiens	Human 	Affymetrix			AnnotationData
humanCHRLOC	Homo sapiens	Human 				FunctionalAnnotation
humanLLMappings	Homo sapiens	Human 				AnnotationData
hvuhomology	Hordeum vulgare					AnnotationData
KEGG						FunctionalAnnotation
maizecdf	Zea mays	Maize 	Affymetrix	Maize Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=maize	AnnotationData
maizeprobe	Zea mays	Maize 	Affymetrix	Maize Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=maize	AnnotationData
mgu74acdf	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
medicago	Medicago truncatula	Medicago 	Affymetrix	Medicago Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=medicago	AnnotationData
						
						
mgu74a	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2		AnnotationData
mgu74aprobe	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
						
mgu74av2cdf	Mus musculus	Mouse 	Affymetrix	Murine Genome U74v2	http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74	AnnotationData
