biocPkgName	organism	species	manufacturer	chipName	manufacturerUrl	biocViews
ricecdf	Oryza sativa	Rice 	Affymetrix	Rice Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=rice	AnnotationData
riceprobe	Oryza sativa	Rice 	Affymetrix	Rice Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=rice	AnnotationData
rnohomology	Rattus norvegicus	Rat				AnnotationData
rnu34cdf	Rattus norvegicus	Rat	Affymetrix	Rat Neurobiology U34 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=rnu34	AnnotationData
rnu34	Rattus norvegicus	Rat	Affymetrix	Rat Neurobiology U34 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=rnu34	AnnotationData
rnu34probe	Rattus norvegicus	Rat	Affymetrix	Rat Neurobiology U34 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=rnu34	AnnotationData
rtu34cdf	Rattus norvegicus	Rat	Affymetrix	Rat Toxicology U34 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=rtu34	AnnotationData
rtu34	Rattus norvegicus	Rat	Affymetrix	Rat Toxicology U34 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=rtu34	AnnotationData
rtu34probe	Rattus norvegicus	Rat	Affymetrix	Rat Toxicology U34 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=rtu34	AnnotationData
saureuscdf	Staphylococcus aureus	S. aureus	Affymetrix	S. aureus Genome Array 	http://www.affymetrix.com/support/technical/byproduct.affx?product=saureus	AnnotationData
saureusprobe	Staphylococcus aureus	S. aureus	Affymetrix	S. aureus Genome Array 	http://www.affymetrix.com/support/technical/byproduct.affx?product=saureus	AnnotationData
scehomology	Saccharomyces cerevisiae	Yeast				AnnotationData
soybeancdf	Glycine max	Soybean 	Affymetrix	Soybean Genome Array 	http://www.affymetrix.com/support/technical/byproduct.affx?product=soy	AnnotationData
soybeanprobe	Glycine max	Soybean 	Affymetrix	Soybean Genome Array 	http://www.affymetrix.com/support/technical/byproduct.affx?product=soy	AnnotationData
spohomology	Schizosaccharomyces pombe	Fission yeast				AnnotationData
sschomology	Sus scrofa	Pig				AnnotationData
sugarcanecdf	Saccharum officinarum	Sugar Cane	Affymetrix	Sugar Cane Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=sugarcane	AnnotationData
sugarcaneprobe	Saccharum officinarum	Sugar Cane	Affymetrix	Sugar Cane Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=sugarcane	AnnotationData
taehomology	Triticum aestivum	Bread wheat				AnnotationData
test1cdf			Affymetrix	Test1 Array		AnnotationData
test2cdf			Affymetrix	Test2 Array		AnnotationData
test3cdf			Affymetrix	Test3 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=test3	AnnotationData
test3probe			Affymetrix	Test3 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=test3	AnnotationData
u133x3pcdf	Homo sapiens	Human 	Affymetrix	Human X3P Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=x3p	AnnotationData
u133x3p	Homo sapiens	Human 	Affymetrix	Human X3P Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=x3p	AnnotationData
u133x3pprobe	Homo sapiens	Human 	Affymetrix	Human X3P Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=x3p	AnnotationData
vitisviniferacdf	Vitis vinifera	Grape 	Affymetrix	Vitis vinifera (Grape) Array 	http://www.affymetrix.com/support/technical/byproduct.affx?product=grape	AnnotationData
vitisviniferaprobe	Vitis vinifera	Grape 	Affymetrix	Vitis vinifera (Grape) Array 	http://www.affymetrix.com/support/technical/byproduct.affx?product=grape	AnnotationData
vvihomology	Vitis vinifera	Grape 				AnnotationData
wheatcdf	Triticum aestivum	Wheat 	Affymetrix	Wheat Genome Array 	http://www.affymetrix.com/support/technical/byproduct.affx?product=wheat	AnnotationData
wheatprobe	Triticum aestivum	Wheat 	Affymetrix	Wheat Genome Array 	http://www.affymetrix.com/support/technical/byproduct.affx?product=wheat	AnnotationData
xenopuslaeviscdf	Xenopus laevis	African clawed frog	Affymetrix	Xenopus laevis Genome Array 	http://www.affymetrix.com/support/technical/byproduct.affx?product=xenopus	AnnotationData
xenopuslaevis	Xenopus laevis	African clawed frog	Affymetrix	Xenopus laevis Genome Array 	http://www.affymetrix.com/support/technical/byproduct.affx?product=xenopus	AnnotationData
xenopuslaevisprobe	Xenopus laevis	African clawed frog	Affymetrix	Xenopus laevis Genome Array 	http://www.affymetrix.com/support/technical/byproduct.affx?product=xenopus	AnnotationData
xlahomology	Xenopus laevis	African clawed frog				AnnotationData
xtrhomology	Xenopus tropicalis	Western clawed frog				AnnotationData
ye6100subacdf	Saccharomyces cerevisiae	Yeast	Affymetrix	Yeast 6100 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=ye6100	AnnotationData
ye6100subbcdf	Saccharomyces cerevisiae	Yeast	Affymetrix	Yeast 6100 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=ye6100	AnnotationData
ye6100subccdf	Saccharomyces cerevisiae	Yeast	Affymetrix	Yeast 6100 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=ye6100	AnnotationData
ye6100subdcdf	Saccharomyces cerevisiae	Yeast	Affymetrix	Yeast 6100 Set	http://www.affymetrix.com/support/technical/byproduct.affx?product=ye6100	AnnotationData
yeast2cdf	Saccharomyces cerevisiae	Yeast	Affymetrix	Yeast Genome 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=yeast-20	AnnotationData
yeast2	Saccharomyces cerevisiae	Yeast	Affymetrix	Yeast Genome 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=yeast-20	AnnotationData
yeast2probe	Saccharomyces cerevisiae	Yeast	Affymetrix	Yeast Genome 2.0 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=yeast-20	AnnotationData
YEAST	Saccharomyces cerevisiae	Yeast				AnnotationData
ygs98cdf	Saccharomyces cerevisiae	Yeast	Affymetrix	Yeast Genome S98 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=yeast	AnnotationData
ygs98	Saccharomyces cerevisiae	Yeast	Affymetrix	Yeast Genome S98 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=yeast	AnnotationData
ygs98probe	Saccharomyces cerevisiae	Yeast	Affymetrix	Yeast Genome S98 Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=yeast	AnnotationData
zebrafishcdf	Danio rerio	Zebrafish 	Affymetrix	Zebrafish Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=zebrafish	AnnotationData
zebrafish	Danio rerio	Zebrafish 	Affymetrix	Zebrafish Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=zebrafish	AnnotationData
zebrafishprobe	Danio rerio	Zebrafish 	Affymetrix	Zebrafish Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=zebrafish	AnnotationData
zmahomology	Zea mays	Teosinte				AnnotationData
PFAM					http://www.sanger.ac.uk/Software/Pfam/	FunctionalAnnotation

cladmer16	Rattus norvegicus	Rat	GE	CodeLink ADME Rat 16 Assay	http://www.mdyn.com/aptrix/upp01077.nsf/Content/codelink_gene_lists	AnnotationData
clhwg	Homo sapiens	Human 	GE	Human Whole Genome	http://www.mdyn.com/aptrix/upp01077.nsf/Content/codelink_gene_lists	AnnotationData
clmwg	Mus musculus	Mouse 	GE	Mouse Whole Genome	http://www.mdyn.com/aptrix/upp01077.nsf/Content/codelink_gene_lists	AnnotationData
clrwg	Rattus norvegicus	Rat	GE	Rat Whole Genome	http://www.mdyn.com/aptrix/upp01077.nsf/Content/codelink_gene_lists	AnnotationData
clush1	Homo sapiens	Human 	GE	UniSet Human I	http://www.mdyn.com/aptrix/upp01077.nsf/Content/codelink_gene_lists	AnnotationData
clush20k	Homo sapiens	Human 	GE	UniSet Human 20K	http://www.mdyn.com/aptrix/upp01077.nsf/Content/codelink_gene_lists	AnnotationData
clusm1	Mus musculus	Mouse 	GE	UniSet Mouse I	http://www.mdyn.com/aptrix/upp01077.nsf/Content/codelink_gene_lists	AnnotationData
clusm20k	Mus musculus	Mouse 	GE	UniSet Mouse 20K	http://www.mdyn.com/aptrix/upp01077.nsf/Content/codelink_gene_lists	AnnotationData
clusr1	Rattus norvegicus	Rat	GE	UniSet Rat I	http://www.mdyn.com/aptrix/upp01077.nsf/Content/codelink_gene_lists	AnnotationData
illuminaHumanv1	Homo sapiens	Human	Illumina	Sentrix Human-6 v1 and Sentrix HumanRef-8 v1	www.illumina.com/downloads/Human6ExpressionDatasheet.pdf, www.illumina.com/downloads/HumanRef8ExpressionDatasheet.pdf, icom.illumina.com/Commerce2/UI/Software/Download.aspx?id=65, icom.illumina.com/Commerce2/UI/Software/Download.aspx?id=66	AnnotationData
illuminaHumanv2	Homo sapiens	Human	Illumina	Sentrix Human-6 v2 and Sentrix HumanRef-8 v2	www.illumina.com/downloads/GXHuman6-8v2ExpressionDatasheet.pdf, icom.illumina.com/Commerce2/UI/Software/Download.aspx?id=67, icom.illumina.com/Commerce2/UI/Software/Download.aspx?id=64	AnnotationData
illuminaMousev1	Mus musculus	Mouse	Illumina	Sentrix Mouse-6 v1.0a and Sentrix MouseRef-8 v1.0a	icom.illumina.com/Commerce2/UI/Software/Download.aspx?id=68, icom.illumina.com/Commerce2/UI/Software/Download.aspx?id=69	AnnotationData
illuminaMousev1-1	Mus musculus	Mouse	Illumina	Sentrix Mouse-6 v1.1 and Sentrix MouseRef-8 v1.1	www.illumina.com/downloads/Mouse6ExpressionDatasheet.pdf, www.illumina.com/downloads/MouseRef8ExpressionDatasheet.pdf, icom.illumina.com/Commerce2/UI/Software/Download.aspx?id=58, icom.illumina.com/Commerce2/UI/Software/Download.aspx?id=59	AnnotationData
illuminaRatV1	Rattus norvegicus	Rat	Illumina	Sentrix RatRef-12 v1	www.illumina.com/downloads/GXRatRef-12DataSheet.pdf, icom.illumina.com/Commerce2/UI/Software/Download.aspx?id=70	AnnotationData
lumiHumanV1	Homo sapiens	Human	Illumina	Sentrix HumanRef-8 or Human-6 version 1	http://www.illumina.com/pages.ilmn?ID=53	AnnotationData
lumiHumanV2	Homo sapiens	Human	Illumina	Sentrix HumanRef-8 or Human-6 version 2	http://www.illumina.com/pages.ilmn?ID=53	AnnotationData
lumiMouseV1	Mus musculus	Mouse	Illumina	Sentrix MouseRef-8 or Mouse-6 version 1 or 1.1	http://www.illumina.com/pages.ilmn?ID=53	AnnotationData
lumiRatV1	Rattus norvegicus	Rat	Illumina	Sentrix RatRef-12 version 1	http://www.illumina.com/pages.ilmn?ID=53	AnnotationData
celegans	Caenorhabditis elegans	C. elegans	Affymetrix	C. elegans Genome Array	http://www.affymetrix.com/support/technical/byproduct.affx?product=celegans	AnnotationData
						
indac	Drosophila melanogaster	Fly	INDAC	FlyChip_long_oligonucleotide_002 (FL002)	http://www.flychip.org.uk/services/core/FL002/	AnnotationData

klahomology	Kluyveromyces lactis					AnnotationData
mgrhomology	Magnaporthe grisea	Rice blast fungus				AnnotationData
ncrhomology	Neurospora crassa					AnnotationData
ptrhomology	Pan troglodytes	Chimpanzee				AnnotationData
Mu15v1	Mus musculus	Mouse	FHCRC Genomics Shared Resource	Mu15v1		CustomArray
Mu22v3	Mus musculus	Mouse	FHCRC Genomics Shared Resource	Mu22v3		CustomArray
HuO22	Homo sapiens	Human	FHCRC Genomics Shared Resource	HuO22		CustomArray
pedbarrayv9	Homo sapiens	Human	FHCRC Nelson Lab	pedbarrayv9		CustomArray
pedbarrayv10	Homo sapiens	Human	FHCRC Nelson Lab	pedbarrayv10		CustomArray
mpedbarray	Mus musculus	Mouse	FHCRC Nelson Lab	mpedbarray		CustomArray
OperonHumanV3	Homo sapiens	Human	FHCRC Nelson Lab	OperonHumanV3		CustomArray
SHDZ	Homo sapiens	Human	Stanford Microarray Database	SHDZ	http://genome-www5.stanford.edu/	CustomArray
Norway981	Homo sapiens	Human	Stanford Microarray Database	Norway981	http://genome-www5.stanford.edu/	CustomArray
JazaeriMetaData	Homo sapiens	Human	National Cancer Institute	JazaeriMetaData		CustomArray
PartheenMetaData	Homo sapiens	Human	Swegene DNA Microarray Resource Centre, Lund, Sweden	PartheenMetaData	http://swegene.onk.lu.se	CustomArray
Roberts2005Annotation	Homo sapiens	Human	Roberts2005Annotation	Roberts2005Annotation		CustomArray
